Date,Open,High,Low,Close,Adj Close,Volume
01-02-2023,2379.949951,2379.949951,2305,2339.899902,2339.899902,8929007
02-02-2023,2318,2348,2311,2326.949951,2326.949951,6305317
03-02-2023,2349,2349,2293,2329,2329,11398850
06-02-2023,2315,2321,2305.800049,2311.449951,2311.449951,6847679
07-02-2023,2312,2327.399902,2293,2305.899902,2305.899902,6985001
08-02-2023,2313,2359.899902,2307,2351.949951,2351.949951,9765490
09-02-2023,2353.449951,2370.850098,2334,2356.050049,2356.050049,6079228
10-02-2023,2354.899902,2354.899902,2321.300049,2336.649902,2336.649902,4979789
13-02-2023,2340.199951,2350,2313.550049,2323.350098,2323.350098,4777674
14-02-2023,2329.949951,2381.899902,2323.649902,2378.100098,2378.100098,6609564
15-02-2023,2376,2437.199951,2373,2431.949951,2431.949951,15461902
16-02-2023,2449.449951,2463.800049,2425.050049,2430.050049,2430.050049,7967558
17-02-2023,2420,2447.5,2410.600098,2440.199951,2440.199951,5450092
20-02-2023,2445,2449.75,2410.100098,2414.399902,2414.399902,4078245
21-02-2023,2424,2446.800049,2412.350098,2434.100098,2434.100098,6143298
22-02-2023,2425.949951,2430,2375.050049,2378.899902,2378.899902,5087729
23-02-2023,2378,2394.75,2361.350098,2385.800049,2385.800049,2147650
